method,d,sampling,N,n_evals,mean_est,std_est,reference_value,reference_type,abs_error,relative_error
mc_standard,3,direct,500,500,6.447685939254413,0.15038146083807083,6.628895321777745,deterministic spherical grid (m=80) for d=3,0.18120938252333207,0.027336286625014184
mc_symmetrized,3,direct,500,4000,6.410919801099641,0.05342374778626744,6.628895321777745,deterministic spherical grid (m=80) for d=3,0.21797552067810422,0.03288263128277115
mc_standard,3,direct,1000,1000,6.510616770376816,0.0912221713806685,6.628895321777745,deterministic spherical grid (m=80) for d=3,0.11827855140092858,0.017842875118626627
mc_symmetrized,3,direct,1000,8000,6.420460776557067,0.03452155302511888,6.628895321777745,deterministic spherical grid (m=80) for d=3,0.20843454522067795,0.03144333031416458
mc_standard,3,direct,2000,2000,6.450826280451357,0.05405661002872093,6.628895321777745,deterministic spherical grid (m=80) for d=3,0.17806904132638746,0.026862551403004007
mc_symmetrized,3,direct,2000,16000,6.417863545183043,0.014703948873161584,6.628895321777745,deterministic spherical grid (m=80) for d=3,0.21103177659470163,0.03183513486800797
mc_standard,3,direct,5000,5000,6.41340986811458,0.05184522126872048,6.628895321777745,deterministic spherical grid (m=80) for d=3,0.21548545366316496,0.032506992975924055
mc_symmetrized,3,direct,5000,40000,6.416243511290702,0.017176844909055633,6.628895321777745,deterministic spherical grid (m=80) for d=3,0.21265181048704296,0.03207952459113712
