method,d,sampling,N,n_evals,mean_est,std_est,abs_error_mean
mc_standard,3,rejection,500,500,6.381652192905894,0.13354049956187036,0.24724312887185018
mc_symmetrized,3,rejection,500,4000,6.434029107862541,0.04910638723749313,0.1948662139152031
mc_standard,3,rejection,1000,1000,6.4392502318506475,0.13349416852811385,0.1896450899270965
mc_symmetrized,3,rejection,1000,8000,6.4183058243097175,0.040842401642171136,0.21058949746802647
mc_standard,3,rejection,2000,2000,6.379339809291456,0.08158231088229362,0.24955551248628804
mc_symmetrized,3,rejection,2000,16000,6.423605324916648,0.022810848850023647,0.2052899968610964
mc_standard,3,rejection,5000,5000,6.438789505891218,0.04382556712090861,0.1901058158865263
mc_symmetrized,3,rejection,5000,40000,6.4196415327891145,0.014770325972656624,0.20925378898862945
