method,d,sampling,N,n_evals,mean_est,std_est,reference_value,reference_type,abs_error,relative_error
mc_standard,4,direct,500,500,3.2826150506809797,0.03769160157679332,3.2898681336964524,analytic radial reference for d=4,0.007253083015472672,0.0022046728685514833
mc_symmetrized,4,direct,500,8000,3.2972693922336225,0.06334208978004989,3.2898681336964524,analytic radial reference for d=4,0.007401258537170108,0.0022497128262870983
mc_standard,4,direct,1000,1000,3.285150258469519,0.02830845907161004,3.2898681336964524,analytic radial reference for d=4,0.0047178752269334545,0.0014340621068092817
mc_symmetrized,4,direct,1000,16000,3.2874945159284508,0.033435370576896425,3.2898681336964524,analytic radial reference for d=4,0.0023736177680016013,0.0007214932853052185
mc_standard,4,direct,2000,2000,3.2798970777938052,0.018540502986999895,3.2898681336964524,analytic radial reference for d=4,0.00997105590264713,0.003030837558660378
mc_symmetrized,4,direct,2000,32000,3.3079082798415675,0.03652506832198575,3.2898681336964524,analytic radial reference for d=4,0.018040146145115177,0.005483546881511481
mc_standard,4,direct,5000,5000,3.2859684281479415,0.017017710951665113,3.2898681336964524,analytic radial reference for d=4,0.0038997055485108234,0.0011853683460951263
mc_symmetrized,4,direct,5000,80000,3.293805033447847,0.01375709862876186,3.2898681336964524,analytic radial reference for d=4,0.003936899751394662,0.0011966740280775978
