method,d,sampling,N,n_evals,mean_est,std_est,reference_value,reference_type,abs_error,relative_error
mc_standard,2,rejection,500,500,1.5714905331181817,0.05025630199623929,1.5707963267948966,analytic radial reference for d=2,0.0006942063232850959,0.00044194547150589337
mc_symmetrized,2,rejection,500,2000,1.5556580161118359,0.035697682286924166,1.5707963267948966,analytic radial reference for d=2,0.015138310683060707,0.009637347901079833
mc_standard,2,rejection,1000,1000,1.5688055614692018,0.025879629999998693,1.5707963267948966,analytic radial reference for d=2,0.0019907653256947544,0.0012673605684810686
mc_symmetrized,2,rejection,1000,4000,1.5690140624895497,0.03240164020940994,1.5707963267948966,analytic radial reference for d=2,0.0017822643053468923,0.001134624696368804
mc_standard,2,rejection,2000,2000,1.5708124498103166,0.015824391978835835,1.5707963267948966,analytic radial reference for d=2,1.612301542008865e-05,1.026423040661584e-05
mc_symmetrized,2,rejection,2000,8000,1.5812390768842566,0.018775538131661402,1.5707963267948966,analytic radial reference for d=2,0.01044275008936002,0.006648061184779916
mc_standard,2,rejection,5000,5000,1.5724968323112412,0.01068601572442353,1.5707963267948966,analytic radial reference for d=2,0.001700505516344597,0.0010825754347251137
mc_symmetrized,2,rejection,5000,20000,1.5575992926202138,0.009756999201699335,1.5707963267948966,analytic radial reference for d=2,0.013197034174682765,0.008401492892213733
