method,d,sampling,N,n_evals,mean_est,std_est,reference_value,reference_type,abs_error,relative_error
mc_standard,2,direct,500,500,1.5905915766107372,0.04783664576623536,1.5707963267948966,analytic radial reference for d=2,0.019795249815840688,0.012602047431719906
mc_symmetrized,2,direct,500,2000,1.5543080963002451,0.041495155063394434,1.5707963267948966,analytic radial reference for d=2,0.016488230494651424,0.010496733544249202
mc_standard,2,direct,1000,1000,1.5707766252053144,0.02062319437847453,1.5707963267948966,analytic radial reference for d=2,1.9701589582199475e-05,1.2542421475099341e-05
mc_symmetrized,2,direct,1000,4000,1.5753045197222983,0.022229872751225187,1.5707963267948966,analytic radial reference for d=2,0.0045081929274017885,0.002870004755231667
mc_standard,2,direct,2000,2000,1.574930052302616,0.02557279988060855,1.5707963267948966,analytic radial reference for d=2,0.004133725507719399,0.0026316113917543888
mc_symmetrized,2,direct,2000,8000,1.5775218928692074,0.012798116134225714,1.5707963267948966,analytic radial reference for d=2,0.006725566074310851,0.004281628343270902
mc_standard,2,direct,5000,5000,1.5708009864793555,0.015404025401338542,1.5707963267948966,analytic radial reference for d=2,4.659684458951929e-06,2.9664472595627336e-06
mc_symmetrized,2,direct,5000,20000,1.5759359523779533,0.014955817856615013,1.5707963267948966,analytic radial reference for d=2,0.005139625583056695,0.003271987268740151
