d,sampling,method,N,n_evals,mean_est,std_est,abs_error,relative_error,reference_value,reference_type
3,direct,mc_symmetrized,2000,16000,6.417863545183043,0.014703948873161584,0.21103177659470163,0.03183513486800797,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,direct,mc_symmetrized,5000,40000,6.416243511290702,0.017176844909055633,0.21265181048704296,0.03207952459113712,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_standard,500,500,6.428949415006511,0.1686798164229426,0.1999459067712337,0.0301627793267992,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_standard,1000,1000,6.435092686458118,0.10853465658694308,0.19380263531962694,0.02923603796894061,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_standard,2000,2000,6.422402772697843,0.047272640576852216,0.20649254907990144,0.031150371073369737,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_standard,5000,5000,6.419355880570889,0.05973466927363797,0.2095394412068563,0.031610009064174174,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_symmetrized,500,4000,6.397892603592827,0.047660222106158424,0.2310027181849179,0.034847845224831114,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_symmetrized,1000,8000,6.43381771484014,0.02428144924056581,0.19507760693760456,0.029428373426975223,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_symmetrized,2000,16000,6.427473862216287,0.02806893889946087,0.20142145956145807,0.030385373396941896,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_symmetrized,5000,40000,6.42074067449432,0.010995810822933433,0.2081546472834246,0.03140110639544711,6.628895321777745,deterministic spherical grid (m=80) for d=3
4,direct,mc_standard,500,500,3.2826150506809797,0.03769160157679332,0.007253083015472672,0.0022046728685514833,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_standard,1000,1000,3.285150258469519,0.02830845907161004,0.0047178752269334545,0.0014340621068092817,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_standard,2000,2000,3.2798970777938052,0.018540502986999895,0.00997105590264713,0.003030837558660378,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_standard,5000,5000,3.2859684281479415,0.017017710951665113,0.0038997055485108234,0.0011853683460951263,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_symmetrized,500,8000,3.2972693922336225,0.06334208978004989,0.007401258537170108,0.0022497128262870983,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_symmetrized,1000,16000,3.2874945159284508,0.033435370576896425,0.0023736177680016013,0.0007214932853052185,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_symmetrized,2000,32000,3.3079082798415675,0.03652506832198575,0.018040146145115177,0.005483546881511481,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_symmetrized,5000,80000,3.293805033447847,0.01375709862876186,0.003936899751394662,0.0011966740280775978,3.2898681336964524,analytic radial reference for d=4
