method,d,sampling,N,n_evals,mean_est,std_est,reference_value,reference_type,abs_error,relative_error
mc_standard,4,rejection,500,500,3.2785518987290816,0.06562573633806439,3.2898681336964524,analytic radial reference for d=4,0.011316234967370775,0.003439722963806456
mc_symmetrized,4,rejection,500,8000,3.271335915752097,0.028860380506476383,3.2898681336964524,analytic radial reference for d=4,0.018532217944355445,0.005633118772919597
mc_standard,4,rejection,1000,1000,3.3120897054228626,0.022676502377094423,3.2898681336964524,analytic radial reference for d=4,0.02222157172641026,0.006754547849138985
mc_symmetrized,4,rejection,1000,16000,3.2850266346834873,0.02834016247899148,3.2898681336964524,analytic radial reference for d=4,0.004841499012965045,0.0014716392317904853
mc_standard,4,rejection,2000,2000,3.286310238090946,0.02286935517080738,3.2898681336964524,analytic radial reference for d=4,0.003557895605506456,0.0010814705820773587
mc_symmetrized,4,rejection,2000,32000,3.2894586369717183,0.028144835936898777,3.2898681336964524,analytic radial reference for d=4,0.00040949672473411525,0.0001244720785431634
mc_standard,4,rejection,5000,5000,3.295305777920749,0.014266825967293006,3.2898681336964524,analytic radial reference for d=4,0.005437644224296712,0.0016528456470949935
mc_symmetrized,4,rejection,5000,80000,3.291319864487005,0.015267280802526597,3.2898681336964524,analytic radial reference for d=4,0.0014517307905528298,0.00044127324608651846
